country,reactor_age_years,reactor_type_code,reactor_nominal_power_mw,load_factor_pct,population_within_30km,ambient_temp_c,co2_avoided_tons_per_hour,core_temp_c,coolant_pressure_bar,neutron_flux,control_rod_position_pct,coolant_flow_rate,radiation_inside_uSv,radiation_outside_uSv,maintenance_score,days_since_maintenance,sensor_anomaly_flag,grid_demand_index,market_price_eur_mwh,backup_generator_health,staff_fatigue_index,public_anxiety_index,social_media_rumour_index,regulator_scrutiny_score,env_risk_index,weather_severity_index,seismic_activity_index,cyber_attack_score,avalon_raw_risk_score,avalon_learned_reward_score,true_risk_level,avalon_evac_recommendation,avalon_shutdown_recommendation,human_override,incident_occurred,year
Hungary,23,4,756.3314383928385,80.61572632784727,1469895,14.216396548893204,0.2438888330024965,281.072631089762,165.07751432746838,0.977760529221614,36.88749074103577,5171.3227715845005,58.52201984865658,0.0761232818511962,42.22396618069549,28,0,10.857335343754826,142.76604450057317,91.1738193183054,50.62607135671748,31.259579544481763,24.72409796359526,73.03444553283306,2.56273505565386,25.762286946060325,0.1611979443991758,25.741554600536983,1.115603939215258,6.672804414943256,3,1,1,0,0,2019
Croatia,32,4,1037.0337254497708,91.11601561549683,58077,5.261004515907608,0.3779615244875127,288.5530534300209,164.08610438893984,1.251999721575296,37.3302147656392,4824.937210839064,43.05171101061872,0.0881482658890946,92.34707843163268,501,0,50.819305752737925,127.8530851819323,81.88149165972757,32.667484876887784,37.75082707903468,48.06656019625678,59.05563654091914,56.27799005784464,39.04155122825548,2.893514501032255,15.320646112970229,2.649434329928878,6.929254431731625,3,1,1,0,0,2005
Norway,10,1,996.8893930890396,85.37563351381112,295678,19.4427582661273,0.3404402539127018,316.6053391773605,163.7937830734268,1.1195018718546723,7.328924619803438,4957.533052090154,39.33418622828168,0.1029848238837655,81.44893054142453,157,0,66.54164702522785,127.2224003127448,60.01037045087544,52.43000072876161,46.83149207948889,27.42029161306027,47.34568526571762,40.84422769245905,31.918073916964676,6.042242205635128,0.0,1.3400121058175798,6.35338149294096,3,0,1,0,0,1998
Belgium,10,2,1343.5442696372947,83.47981094367302,1354356,11.60740316124751,0.4486352864951065,311.57227349439927,145.41947290185652,1.235267934569338,38.93781244253427,4231.260593009964,50.31690533432973,0.0534899153042725,61.758442618074575,540,0,55.04070721062858,62.25275282720506,77.21047764310285,65.11174681620821,37.29824520501873,21.944277734175145,43.222161153712335,68.12130351750935,21.38023522708036,3.050245140750399,18.32525247778084,2.4977152277240227,6.684714769573068,3,1,1,0,0,2011
Poland,36,4,1180.737139797352,100.0,1048119,22.14847728147081,0.4722948559189408,293.8776483038175,158.84797113503654,0.8808314850026173,54.96123289676252,2963.191635429779,42.77757229512966,0.1723824394816642,72.57184740908012,474,0,83.04799727221558,105.8963969235438,73.20688856494107,10.46435553791877,60.92359569093516,11.75229432175726,25.80364262248636,75.9565169886151,18.922026956664293,7.251402564712295,8.235052373996492,1.2049366956276213,6.041739446125899,3,0,1,0,0,2009
Romania,8,1,988.1330810022494,70.5865825428463,773290,2.5457213585565928,0.2789957491419292,262.6584736277748,147.66209734829164,1.3135299500922948,38.97105428100573,4924.490005006699,48.26024217080996,0.2109767072397067,94.8564984683982,206,0,62.09012422417205,110.57849615909107,94.99968709028133,18.017103362327997,32.11620662851899,0.0,50.24514557721267,45.74777333867387,32.35745536221583,25.09866585417219,17.416653850242817,0.1377260031621364,4.021054182760339,1,0,0,0,0,2013
Norway,20,1,770.7602834503856,97.89131835437443,841918,3.239971097962973,0.3018029611285983,300.8916728909805,161.00894688291098,0.8889030063328027,71.04905296534815,4403.3870712641865,43.82278061849409,0.1953426926768112,98.68153162492344,483,0,63.94929444503503,142.27952639232578,79.87874614392454,28.834401435557087,41.55906494203124,44.5002872202095,19.04482641639825,25.074961458736468,49.37078024376292,11.472152096790388,16.77060681286457,2.2235579344687757,6.919049108981745,3,1,1,0,0,2001
Estonia,32,1,826.8371023254952,91.56406565489972,1147672,19.26159121575563,0.3028342668929547,300.54508231988115,155.4266799584507,0.8982728461211554,29.16528465402891,4486.999729076322,55.825425982216245,0.0728987808988651,70.02353490725498,347,0,67.12564561978263,173.77857211549698,83.19475380078632,47.16596664171215,30.451144857251325,6.926025431967901,40.17318886660812,49.473518012672486,21.76453481358184,31.03259925759582,4.531631916004359,1.5080593102352235,5.317009534050955,3,0,1,0,0,2001
Hungary,14,2,1175.501018469059,80.20475005368216,38435,11.797331168623693,0.3771230614966389,280.99609591079656,163.84938481193765,0.9212683853203568,32.657228108161675,4451.095178471841,45.50183854064321,0.2639932541759335,97.44937548532852,463,0,41.33583440090724,129.90701874940677,88.34468723869603,21.876183772340088,52.92764776839459,0.0,46.24103244082663,58.65504707607764,25.292564472038293,8.539024796255623,0.0,0.6744212454786117,3.9208552199810582,2,0,0,0,0,2014
Cyprus,28,1,1023.4388048997924,100.0,38152,21.268766994609045,0.409375521959917,307.4604459176221,178.76255803259792,0.8999381461291246,29.94209512431867,5570.515380197989,44.82053404053174,0.1555807299727566,75.00932307698618,446,0,69.74505926345616,97.97891375443724,78.4188474239889,42.13637365176703,35.11975559776971,17.318716816969403,24.684883614956163,39.52973016075111,9.235201275944828,6.080941096000555,13.83414848078006,3.610057889067185,4.36789961772711,3,0,1,0,0,2014
Slovenia,46,2,1114.927508860672,66.51889887611463,1163196,3.4147590657553497,0.2966550008644058,280.707640508243,154.6716474935023,1.3787106282363688,29.52297420718148,5645.471648663391,57.05199825930381,0.2272449885728833,63.98344640162132,135,0,94.4960258314226,61.73705862274625,73.3720789110268,0.0,0.0,17.402589449265047,19.206860912279407,9.831576128347985,35.3000312225167,12.777695856396464,13.692178494374932,0.391049654531249,2.4390452606088378,2,0,0,0,0,1993
Lithuania,24,3,770.6774353022337,79.78233342700928,326096,16.336526641592428,0.2459457764318207,307.416084831727,143.9665787822001,1.104364144990045,48.05386214081495,5204.671474469746,38.89738771927144,0.1430282745802263,67.07642412923713,628,1,21.69327327531608,190.65316453095213,88.58077191979679,40.0613958068828,16.195583969445053,0.0,48.429028291275735,32.84273374277882,0.0,26.19819076872269,11.8423432087807,1.74827919816501,3.1489199061718534,3,0,1,0,0,2012
Poland,15,1,1262.906252344566,72.91517795730924,811070,17.46487279077733,0.36834013653241,298.61598101852627,138.68794472808332,1.099175965786267,35.87639701364573,4803.94872111954,40.94045574573927,0.1435643508906713,100.0,375,0,40.53460305377945,104.73134888421782,82.9019689657141,57.75182553769031,55.45479130375532,21.07114133005538,20.816999531641027,41.96003114933947,2.595086847324442,1.1789813950311905,0.0,-0.3622970596907117,5.0637404688880014,1,0,0,0,0,1992
Poland,22,4,1452.538740855967,89.1208346487146,237816,-3.3712122269426885,0.5178058597787071,273.1027761889891,146.03192222940962,0.6216970956552155,69.16513637211384,5198.516789718575,53.3876066878624,0.1312064661880541,83.69299988763157,629,0,67.76273827350236,156.61381882543495,77.82935400594097,43.51636489920028,34.716359845352954,35.947297727461304,8.325877338745585,16.33533233575691,25.159260667356545,24.034792039394933,29.010985056519345,0.0880038414903133,4.324389912483117,1,0,0,0,1,2014
